Year,Period,Label,Value,12-Month % Change,Month
1980,M05,1980 May,81.7,14.4,5/31/1980
1980,M06,1980 Jun,82.5,14.3,6/30/1980
1980,M07,1980 Jul,82.6,13.2,7/31/1980
1980,M08,1980 Aug,83.2,12.9,8/31/1980
1980,M09,1980 Sep,83.9,12.8,9/30/1980
1980,M10,1980 Oct,84.7,12.6,10/31/1980
1980,M11,1980 Nov,85.6,12.6,11/30/1980
1980,M12,1980 Dec,86.4,12.4,12/31/1980
1981,M01,1981 Jan,87.2,11.8,1/31/1981
1981,M02,1981 Feb,88,11.4,2/28/1981
1981,M03,1981 Mar,88.6,10.6,3/31/1981
1981,M04,1981 Apr,89.1,10.1,4/30/1981
1981,M05,1981 May,89.7,9.8,5/31/1981
1981,M06,1981 Jun,90.5,9.7,6/30/1981
1981,M07,1981 Jul,91.5,10.8,7/31/1981
1981,M08,1981 Aug,92.2,10.8,8/31/1981
1981,M09,1981 Sep,93.1,11,9/30/1981
1981,M10,1981 Oct,93.4,10.3,10/31/1981
1981,M11,1981 Nov,93.8,9.6,11/30/1981
1981,M12,1981 Dec,94.1,8.9,12/31/1981
1982,M01,1982 Jan,94.4,8.3,1/31/1982
1982,M02,1982 Feb,94.7,7.6,2/28/1982
1982,M03,1982 Mar,94.7,6.9,3/31/1982
1982,M04,1982 Apr,95,6.6,4/30/1982
1982,M05,1982 May,95.9,6.9,5/31/1982
1982,M06,1982 Jun,97,7.2,6/30/1982
1982,M07,1982 Jul,97.5,6.6,7/31/1982
1982,M08,1982 Aug,97.7,6,8/31/1982
1982,M09,1982 Sep,97.7,4.9,9/30/1982
1982,M10,1982 Oct,98.1,5,10/31/1982
1982,M11,1982 Nov,98,4.5,11/30/1982
1982,M12,1982 Dec,97.7,3.8,12/31/1982
1983,M01,1983 Jan,97.9,3.7,1/31/1983
1983,M02,1983 Feb,98,3.5,2/28/1983
1983,M03,1983 Mar,98.1,3.6,3/31/1983
1983,M04,1983 Apr,98.8,4,4/30/1983
1983,M05,1983 May,99.2,3.4,5/31/1983
1983,M06,1983 Jun,99.4,2.5,6/30/1983
1983,M07,1983 Jul,99.8,2.4,7/31/1983
1983,M08,1983 Aug,100.1,2.5,8/31/1983
1983,M09,1983 Sep,100.4,2.8,9/30/1983
1983,M10,1983 Oct,100.8,2.8,10/31/1983
1983,M11,1983 Nov,101.1,3.2,11/30/1983
1983,M12,1983 Dec,101.4,3.8,12/31/1983
1984,M01,1984 Jan,102.1,4.3,1/31/1984
1984,M02,1984 Feb,102.6,4.7,2/29/1984
1984,M03,1984 Mar,102.9,4.9,3/31/1984
1984,M04,1984 Apr,103.3,4.6,4/30/1984
1984,M05,1984 May,103.5,4.3,5/31/1984
1984,M06,1984 Jun,103.7,4.3,6/30/1984
1984,M07,1984 Jul,104.1,4.3,7/31/1984
1984,M08,1984 Aug,104.4,4.3,8/31/1984
1984,M09,1984 Sep,104.7,4.3,9/30/1984
1984,M10,1984 Oct,105.1,4.3,10/31/1984
1984,M11,1984 Nov,105.3,4.2,11/30/1984
1984,M12,1984 Dec,105.5,4,12/31/1984
1985,M01,1985 Jan,105.7,3.5,1/31/1985
1985,M02,1985 Feb,106.3,3.6,2/28/1985
1985,M03,1985 Mar,106.8,3.8,3/31/1985
1985,M04,1985 Apr,107,3.6,4/30/1985
1985,M05,1985 May,107.2,3.6,5/31/1985
1985,M06,1985 Jun,107.5,3.7,6/30/1985
1985,M07,1985 Jul,107.7,3.5,7/31/1985
1985,M08,1985 Aug,107.9,3.4,8/31/1985
1985,M09,1985 Sep,108.1,3.2,9/30/1985
1985,M10,1985 Oct,108.5,3.2,10/31/1985
